package,cc_min,cc_max,cc_avg
ecl_statistics,1.0,3.0,2.14285714286
yocs_keyop,1.0,11.0,3.83333333333
ecl_linear_algebra,1.0,7.0,1.6
yocs_navigator,1.0,8.0,3.3
yocs_safety_controller,1.0,5.0,2.57142857143
yocs_math_toolkit,1.0,9.0,1.76744186047
ecl_geometry,1.0,13.0,2.16091954023
ecl_converters_lite,1.0,4.0,2.25
ecl_filesystem,1.0,1.0,1.0
ecl_errors,1.0,1.0,1.0
ecl_sigslots_lite,1.0,12.0,2.81818181818
kobuki_ftdi,1.0,25.0,7.96
ecl_sigslots,1.0,2.0,1.23076923077
ecl_exceptions,1.0,2.0,1.28571428571
ecl_time_lite,1.0,14.0,6.35294117647
ar_track_alvar,1.0,102.0,5.4914893617
yocs_waypoint_provider,1.0,10.0,3.11111111111
ecl_eigen,1.0,63.0,2.80895008606
ecl_type_traits,1.0,2.0,1.25
ecl_command_line,1.0,16.0,3.08791208791
ecl_ipc,1.0,10.0,4.33333333333
ecl_devices,1.0,19.0,5.46296296296
kobuki_safety_controller,1.0,2.0,1.33333333333
yocs_controllers,1.0,3.0,2.33333333333
ecl_formatters,1.0,8.0,2.15
yocs_ar_marker_tracking,1.0,12.0,4.0
ecl_threads,1.0,27.0,4.43181818182
ecl_time,1.0,30.0,3.89189189189
kobuki_driver,1.0,53.0,4.26
ecl_containers,1.0,4.0,1.73333333333
ecl_mobile_robot,1.0,2.0,1.28571428571
yocs_diff_drive_pose_controller,1.0,15.0,4.2
kobuki_bumper2pc,1.0,13.0,7.0
ecl_streams,1.0,6.0,1.86666666667
yocs_cmd_vel_mux,1.0,6.0,3.2
ecl_config,1.0,84.0,11.625
yocs_joyop,9.0,10.0,9.5
kobuki_node,1.0,15.0,4.36363636364
ecl_core_apps,1.0,17.0,4.97142857143
ecl_io,2.0,37.0,15.25
ecl_utilities,1.0,7.0,1.24528301887
kobuki_auto_docking,1.0,6.0,2.14285714286
ecl_mpl,1.0,2.0,1.5
yocs_virtual_sensor,1.0,13.0,3.46153846154
yocs_waypoints_navi,3.0,19.0,7.25
kobuki_random_walker,1.0,22.0,8.0
ecl_concepts,1.0,1.0,1.0
ecl_math,1.0,5.0,1.85714285714
kobuki_dock_drive,1.0,11.0,3.45454545455
ecl_converters,1.0,5.0,1.89473684211
kobuki_keyop,1.0,10.0,3.75
kobuki_controller_tutorial,1.0,2.0,1.2
yocs_ar_pair_tracking,1.0,8.0,1.72727272727
yocs_velocity_smoother,1.0,25.0,4.88888888889
