Package,Repository,Contributors,Commits,CC (avg),Cpp LoC,Cpp LoCom
yocs_keyop,yujin_ocs,9,342,3.83333333333,362,105
yocs_navigator,yujin_ocs,9,342,3.3,571,46
yocs_safety_controller,yujin_ocs,9,342,2.57142857143,193,80
yocs_math_toolkit,yujin_ocs,9,342,1.76744186047,343,128
yocs_waypoint_provider,yujin_ocs,9,342,3.11111111111,329,54
yocs_controllers,yujin_ocs,9,342,2.33333333333,44,75
yocs_ar_marker_tracking,yujin_ocs,9,342,4.0,420,141
yocs_diff_drive_pose_controller,yujin_ocs,9,342,4.2,364,179
yocs_cmd_vel_mux,yujin_ocs,9,342,3.2,247,166
yocs_joyop,yujin_ocs,9,342,9.5,171,8
yocs_virtual_sensor,yujin_ocs,9,342,3.46153846154,273,40
yocs_waypoints_navi,yujin_ocs,9,342,7.25,412,55
yocs_ar_pair_tracking,yujin_ocs,9,342,1.72727272727,346,61
yocs_velocity_smoother,yujin_ocs,9,342,4.88888888889,237,72
kobuki_ftdi,kobuki_core,11,1279,7.96,796,671
kobuki_driver,kobuki_core,11,1279,4.26,2519,1292
kobuki_dock_drive,kobuki_core,11,1279,3.45454545455,521,372
kobuki_safety_controller,kobuki,13,1334,1.33333333333,86,89
kobuki_bumper2pc,kobuki,13,1334,7.0,113,86
kobuki_node,kobuki,13,1334,4.36363636364,953,388
kobuki_auto_docking,kobuki,13,1334,2.14285714286,193,80
kobuki_random_walker,kobuki,13,1334,8.0,370,111
kobuki_keyop,kobuki,13,1334,3.75,369,198
kobuki_controller_tutorial,kobuki,13,1334,1.2,98,120
ar_track_alvar,ar_track_alvar,14,130,5.4914893617,14141,4275
ecl_statistics,ecl_core,4,242,2.14285714286,202,150
ecl_linear_algebra,ecl_core,4,242,1.6,201,214
ecl_geometry,ecl_core,4,242,2.16091954023,1841,1078
ecl_filesystem,ecl_core,4,242,1.0,20,77
ecl_sigslots,ecl_core,4,242,1.23076923077,285,308
ecl_exceptions,ecl_core,4,242,1.28571428571,295,111
ecl_eigen,ecl_core,4,242,2.80895008606,36353,14503
ecl_type_traits,ecl_core,4,242,1.25,303,385
ecl_command_line,ecl_core,4,242,3.08791208791,1929,1789
ecl_ipc,ecl_core,4,242,4.33333333333,451,389
ecl_devices,ecl_core,4,242,5.46296296296,2119,1931
ecl_formatters,ecl_core,4,242,2.15,367,304
ecl_threads,ecl_core,4,242,4.43181818182,1130,793
ecl_time,ecl_core,4,242,3.89189189189,1132,739
ecl_containers,ecl_core,4,242,1.73333333333,979,426
ecl_streams,ecl_core,4,242,1.86666666667,446,296
ecl_core_apps,ecl_core,4,242,4.97142857143,1768,737
ecl_utilities,ecl_core,4,242,1.24528301887,850,1048
ecl_mpl,ecl_core,4,242,1.5,86,186
ecl_concepts,ecl_core,4,242,1.0,359,395
ecl_math,ecl_core,4,242,1.85714285714,150,179
ecl_converters,ecl_core,4,242,1.89473684211,399,296
ecl_converters_lite,ecl_lite,2,69,2.25,51,91
ecl_errors,ecl_lite,2,69,1.0,121,207
ecl_sigslots_lite,ecl_lite,2,69,2.81818181818,360,333
ecl_time_lite,ecl_lite,2,69,6.35294117647,332,579
ecl_config,ecl_lite,2,69,11.625,606,190
ecl_io,ecl_lite,2,69,15.25,329,166
ecl_mobile_robot,ecl_navigation,2,23,1.28571428571,127,187
